Serial No.,Movie Title,Release Month,Release Year,Genre,Type,Country of Origin,Language,Duration (minutes),Director,Cast,IMDb Rating,Rotten Tomatoes (%),Box Office Collection (in millions),Liked By (Number of People),Preferred by Generation,Age Suitability,Streaming Platform,Awards Won,Keywords / Tags,Recommendation Score
896,Neon Nights 896,September,2023,Thriller/Drama,Series,France,German,101,Park Chan-wook,"Scarlett Johansson, Adam Driver",7.2,81,172,7408854,Gen Z,PG-13,HBO Max,K-Drama Awards,"Mystery, Thriller",93
897,Eternal Shadows 897,March,2009,Documentary,Series,Japan,French,130,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun",6.2,94,952,5695736,Millennials,R,Prime Video,Baeksang Nominee,"Romance, Comedy",89
898,Hidden Truths 898,August,2014,Sci-Fi/Thriller,Series,UK,Japanese,192,Park Chan-wook,"Robert Pattinson, Zoë Kravitz",7.3,87,1008,5053197,Gen X,18+,Netflix,Golden Globe,"Mystery, Fantasy",70
899,Dreamscape 899,July,2016,Horror,Movie,Germany,German,86,Bong Joon-ho,"Ranbir Kapoor, Alia Bhatt",8.2,97,556,2740268,Millennials,R,Prime Video,Baeksang Nominee,"Fantasy, Drama",98
900,Crimson Dawn 900,May,1995,Mystery,Movie,India,French,115,Greta Gerwig,"Chris Evans, Emily Blunt",7.7,95,441,3559220,"Gen Z, Millennials",18+,Prime Video,K-Drama Awards,"Thriller, Romance",86
901,Dreamscape 901,August,2009,Fantasy,Movie,France,Spanish,131,Greta Gerwig,"Brad Pitt, Margot Robbie",8.7,90,288,3994383,"Gen Z, Millennials",R,Prime Video,Golden Globe,"Romance, Adventure",82
902,Eternal Shadows 902,January,1997,Horror,Movie,Germany,Spanish,128,Hayao Miyazaki,"Tom Hanks, Emma Watson",7.9,93,972,9376036,Millennials,PG-13,Hulu,Baeksang Nominee,"Drama, Sci-Fi",82
903,Eternal Shadows 903,December,2004,Sci-Fi/Thriller,Movie,UK,English,104,Park Chan-wook,"Song Kang-ho, Lee Sun-kyun",7.4,90,2960,8574827,Millennials,PG-13,HBO Max,Oscar,"Adventure, Tragedy",77
904,Hidden Truths 904,February,1992,Crime/Comedy/Drama,Movie,India,Hindi,180,Sofia Coppola,"Kim Soo-hyun, Kim Ji-won",6.9,87,996,5836073,"Gen Z, Millennials",R,Netflix,K-Drama Awards,"Thriller, Comedy",96
905,Fading Stars 905,July,1996,Horror,Movie,Canada,English,157,David Fincher,"Henry Cavill, Anya Taylor-Joy",7.5,69,341,5192086,"Gen Z, Millennials",PG,HBO Max,None,"Tragedy, Drama",99
906,Fading Stars 906,February,2018,Action/Adventure,Movie,Germany,German,187,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",8.9,54,331,2694690,Gen X,18+,Prime Video,Cannes Winner,"Action, Comedy",96
907,The Last Voyage 907,April,2002,Crime/Comedy/Drama,Series,USA,Hindi,76,Hayao Miyazaki,"Chris Evans, Emily Blunt",8.8,71,1090,7948365,Millennials,18+,HBO Max,Oscar,"Romance, Mystery",95
908,Eternal Shadows 908,February,2022,Romance/Drama,Series,South Korea,Spanish,139,Hayao Miyazaki,"Brad Pitt, Margot Robbie",6.5,62,1597,4711985,Gen Z,PG,Netflix,Golden Globe,"Mystery, Comedy",81
909,The Last Voyage 909,June,2002,Sci-Fi/Thriller,Movie,South Korea,German,192,Park Chan-wook,"Brad Pitt, Margot Robbie",7.4,69,1457,3878200,Gen X,PG,HBO Max,K-Drama Awards,"Sci-Fi, Comedy",76
910,Fading Stars 910,May,1991,Action/Adventure,Series,USA,German,80,Park Chan-wook,"Chris Evans, Emily Blunt",8.4,65,1354,3012274,Gen X,PG,Disney+,Baeksang Nominee,"Action, Comedy",77
911,Eternal Shadows 911,July,2003,Animation,Series,South Korea,Spanish,151,Christopher Nolan,"Brad Pitt, Margot Robbie",9.2,68,132,7955157,Gen Z,R,Netflix,None,"Adventure, Fantasy",83
912,Neon Nights 912,January,2017,Action/Adventure,Movie,India,Hindi,127,David Fincher,"Chris Evans, Emily Blunt",8.2,78,2393,9448090,"Gen Z, Millennials",18+,Hulu,Golden Globe,"Fantasy, Tragedy",73
913,Crimson Dawn 913,December,2009,Action/Adventure,Movie,USA,German,137,Anurag Kashyap,"Tom Hanks, Emma Watson",6.5,77,128,7910943,Gen Z,18+,HBO Max,K-Drama Awards,"Comedy, Drama",83
914,Fading Stars 914,August,1999,Horror,Movie,Canada,Japanese,128,Park Chan-wook,"Chris Evans, Emily Blunt",9,93,445,5302777,Gen X,PG,Prime Video,None,"Thriller, Sci-Fi",76
915,Eternal Shadows 915,June,2025,Romance/Drama,Movie,India,Japanese,72,Anurag Kashyap,"Brad Pitt, Margot Robbie",7.6,85,354,4715887,Gen X,PG,Hulu,K-Drama Awards,"Romance, Mystery",74
916,Crimson Dawn 916,September,1991,Documentary,Movie,South Korea,German,153,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun",8.9,63,1316,4644917,Millennials,R,HBO Max,Golden Globe,"Drama, Tragedy",99
917,The Last Voyage 917,December,2020,Animation,Series,Japan,Spanish,149,Guillermo del Toro,"Chris Evans, Emily Blunt",8.7,56,2976,5506614,Gen X,PG-13,Disney+,K-Drama Awards,"Comedy, Thriller",74
918,Crimson Dawn 918,June,2006,Crime/Comedy/Drama,Series,Germany,Hindi,186,Bong Joon-ho,"Scarlett Johansson, Adam Driver",6.6,89,2391,9478324,Gen Z,16+,HBO Max,Cannes Winner,"Tragedy, Fantasy",90
919,Silent Echo 919,December,2012,Fantasy,Series,India,Japanese,171,Park Chan-wook,"Tom Hanks, Emma Watson",7.2,99,951,2428953,"Gen Z, Millennials",PG,Netflix,Baeksang Nominee,"Comedy, Tragedy",75
920,Neon Nights 920,June,2002,Mystery,Movie,USA,Japanese,192,Guillermo del Toro,"Henry Cavill, Anya Taylor-Joy",8.9,50,1983,6980260,Gen X,18+,HBO Max,Cannes Winner,"Mystery, Adventure",78
921,Eternal Shadows 921,December,1994,Fantasy,Series,South Korea,English,76,Greta Gerwig,"Scarlett Johansson, Adam Driver",6.8,95,867,810086,Gen Z,PG,Hulu,None,"Mystery, Comedy",91
922,Crimson Dawn 922,September,2005,Romance/Drama,Movie,Japan,English,199,David Fincher,"Chris Evans, Emily Blunt",8.7,72,1968,8738199,Gen X,18+,Prime Video,Oscar,"Romance, Mystery",97
923,Silent Echo 923,May,1995,Crime/Comedy/Drama,Series,UK,Japanese,190,Sofia Coppola,"Chris Evans, Emily Blunt",7.6,91,2966,7105546,Gen X,R,Netflix,Oscar,"Adventure, Fantasy",80
924,Beyond Horizon 924,May,2017,Sci-Fi/Thriller,Movie,Canada,Korean,133,David Fincher,"Song Kang-ho, Lee Sun-kyun",9.4,85,1212,2287722,Millennials,R,Hulu,Oscar,"Fantasy, Sci-Fi",83
925,Beyond Horizon 925,February,2001,Fantasy,Movie,USA,Japanese,195,David Fincher,"Song Kang-ho, Lee Sun-kyun",7.2,74,1510,2594397,Millennials,18+,Prime Video,K-Drama Awards,"Romance, Adventure",80
926,Silent Echo 926,March,2006,Action/Adventure,Series,India,Spanish,110,Anurag Kashyap,"Kim Soo-hyun, Kim Ji-won",6.7,71,2132,2185528,Millennials,18+,Hulu,Golden Globe,"Mystery, Comedy",70
927,Dreamscape 927,May,2002,Animation,Series,South Korea,French,125,Sofia Coppola,"Tom Hanks, Emma Watson",7.5,64,1942,4177790,"Gen Z, Millennials",16+,Prime Video,Golden Globe,"Action, Sci-Fi",89
928,Dreamscape 928,April,2022,Sci-Fi/Thriller,Movie,South Korea,Korean,173,Guillermo del Toro,"Robert Pattinson, Zoë Kravitz",7.4,73,1786,2066706,Gen X,16+,Hulu,Golden Globe,"Adventure, Tragedy",82
929,Shattered Memories 929,December,2014,Action/Adventure,Series,India,English,176,David Fincher,"Ranbir Kapoor, Alia Bhatt",8,82,1903,993087,Millennials,PG,Netflix,Baeksang Nominee,"Comedy, Fantasy",85
930,Silent Echo 930,April,2015,Mystery,Series,UK,Japanese,88,Christopher Nolan,"Scarlett Johansson, Adam Driver",6.2,67,2373,283866,Gen Z,R,Prime Video,Baeksang Nominee,"Adventure, Mystery",79
931,Hidden Truths 931,October,2008,Fantasy,Series,Germany,German,189,Park Chan-wook,"Leonardo DiCaprio, Kate Winslet",7.1,58,1618,7739678,"Gen Z, Millennials",R,Prime Video,Golden Globe,"Mystery, Action",77
932,Hidden Truths 932,August,1994,Romance/Drama,Series,UK,Spanish,141,Hayao Miyazaki,"Tom Hanks, Emma Watson",8.1,78,2166,4051302,"Gen Z, Millennials",16+,Prime Video,Oscar,"Tragedy, Fantasy",88
933,Fading Stars 933,March,1995,Animation,Series,Japan,German,85,Bong Joon-ho,"Kim Soo-hyun, Kim Ji-won",9.5,85,905,4203737,Millennials,16+,HBO Max,Golden Globe,"Action, Romance",71
934,Eternal Shadows 934,March,1998,Romance/Drama,Series,France,Hindi,147,Bong Joon-ho,"Tom Hanks, Emma Watson",8.5,80,1502,482945,"Gen Z, Millennials",R,Disney+,Baeksang Nominee,"Comedy, Thriller",79
935,Dreamscape 935,April,2006,Mystery,Series,South Korea,Hindi,112,Greta Gerwig,"Tom Hanks, Emma Watson",8.2,69,82,8715903,Gen Z,R,Prime Video,K-Drama Awards,"Comedy, Drama",80
936,Neon Nights 936,August,2012,Mystery,Series,UK,German,177,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun",8.2,64,1675,2213157,Gen Z,PG-13,Hulu,K-Drama Awards,"Sci-Fi, Romance",90
937,Neon Nights 937,May,2006,Mystery,Series,Germany,French,148,James Cameron,"Kim Soo-hyun, Kim Ji-won",7.2,50,408,5061023,Gen Z,PG,HBO Max,None,"Thriller, Romance",89
938,The Last Voyage 938,December,2013,Horror,Series,Canada,German,114,Greta Gerwig,"Ranbir Kapoor, Alia Bhatt",7.4,55,2945,162190,"Gen Z, Millennials",18+,Prime Video,Oscar,"Drama, Romance",81
939,Neon Nights 939,December,1997,Sci-Fi/Thriller,Movie,USA,Hindi,183,Anurag Kashyap,"Henry Cavill, Anya Taylor-Joy",7.4,55,1742,4360045,Gen Z,PG,Prime Video,Baeksang Nominee,"Romance, Adventure",71
940,Hidden Truths 940,February,2013,Thriller/Drama,Movie,USA,German,106,Guillermo del Toro,"Scarlett Johansson, Adam Driver",6.5,65,631,8710821,"Gen Z, Millennials",PG-13,Hulu,K-Drama Awards,"Adventure, Action",81
941,Dreamscape 941,December,1996,Mystery,Movie,France,German,172,Guillermo del Toro,"Robert Pattinson, Zoë Kravitz",6.9,57,2098,8731296,Gen Z,R,Disney+,Cannes Winner,"Sci-Fi, Drama",76
942,Fading Stars 942,August,2010,Horror,Movie,India,Hindi,197,Hayao Miyazaki,"Song Kang-ho, Lee Sun-kyun",8.2,77,2735,920985,Gen Z,PG,Disney+,Oscar,"Tragedy, Fantasy",87
943,Shattered Memories 943,December,2000,Sci-Fi/Thriller,Series,France,Korean,150,Bong Joon-ho,"Scarlett Johansson, Adam Driver",6.2,91,1317,8684653,"Gen Z, Millennials",PG-13,Netflix,Golden Globe,"Drama, Adventure",91
944,Shattered Memories 944,April,1992,Animation,Movie,India,German,71,James Cameron,"Robert Pattinson, Zoë Kravitz",6.5,78,659,7061096,Millennials,PG,Prime Video,Oscar,"Comedy, Fantasy",95
945,The Last Voyage 945,September,2025,Sci-Fi/Thriller,Series,France,English,139,James Cameron,"Chris Evans, Emily Blunt",7.8,66,866,1719905,Gen Z,PG,Netflix,Golden Globe,"Romance, Fantasy",85
946,Dreamscape 946,February,2005,Thriller/Drama,Series,Canada,Korean,133,Greta Gerwig,"Henry Cavill, Anya Taylor-Joy",9.3,64,2403,3184751,Gen Z,PG,Prime Video,Golden Globe,"Adventure, Comedy",93
947,Shattered Memories 947,May,2012,Action/Adventure,Movie,France,Spanish,157,Christopher Nolan,"Ranbir Kapoor, Alia Bhatt",8.4,51,1544,8693136,Millennials,PG-13,Netflix,None,"Sci-Fi, Action",88
948,The Last Voyage 948,October,1991,Documentary,Series,India,Hindi,133,Anurag Kashyap,"Song Kang-ho, Lee Sun-kyun",9.2,72,2721,6957718,Millennials,PG,HBO Max,Baeksang Nominee,"Adventure, Tragedy",88
949,Neon Nights 949,December,2006,Fantasy,Series,France,French,90,Guillermo del Toro,"Tom Hanks, Emma Watson",8.2,77,2206,4291356,Gen X,18+,Prime Video,K-Drama Awards,"Adventure, Thriller",86
950,Beyond Horizon 950,July,1997,Horror,Movie,South Korea,English,95,Park Chan-wook,"Leonardo DiCaprio, Kate Winslet",8.7,68,1951,9429182,"Gen Z, Millennials",PG,Netflix,K-Drama Awards,"Fantasy, Adventure",74
951,Crimson Dawn 951,December,2006,Crime/Comedy/Drama,Movie,UK,Hindi,135,Bong Joon-ho,"Tom Hanks, Emma Watson",8.5,73,2949,8987411,"Gen Z, Millennials",16+,Prime Video,Golden Globe,"Drama, Mystery",76
952,Shattered Memories 952,March,1993,Mystery,Movie,France,French,160,Bong Joon-ho,"Robert Pattinson, Zoë Kravitz",7.6,98,1751,917722,Millennials,R,Hulu,Golden Globe,"Action, Drama",96
953,Neon Nights 953,January,2007,Fantasy,Series,Germany,Hindi,137,Anurag Kashyap,"Ranbir Kapoor, Alia Bhatt",8.1,90,338,6173351,Millennials,PG-13,Hulu,None,"Action, Adventure",84
954,Hidden Truths 954,January,2012,Documentary,Movie,Germany,French,84,Greta Gerwig,"Brad Pitt, Margot Robbie",9,94,2292,2864907,Gen X,R,Disney+,K-Drama Awards,"Romance, Fantasy",82
955,Silent Echo 955,September,1999,Documentary,Movie,Germany,French,141,James Cameron,"Leonardo DiCaprio, Kate Winslet",6.3,51,710,4217271,"Gen Z, Millennials",R,Prime Video,None,"Tragedy, Fantasy",88
956,Crimson Dawn 956,September,2017,Sci-Fi/Thriller,Movie,UK,English,189,Greta Gerwig,"Ranbir Kapoor, Alia Bhatt",9.4,71,2046,7633546,Gen Z,PG,Disney+,K-Drama Awards,"Comedy, Mystery",82
957,Crimson Dawn 957,February,2024,Horror,Movie,Canada,Korean,95,Bong Joon-ho,"Henry Cavill, Anya Taylor-Joy",9.5,56,1180,9381417,"Gen Z, Millennials",R,Prime Video,Cannes Winner,"Comedy, Romance",95
958,The Last Voyage 958,October,1992,Animation,Movie,South Korea,Korean,187,Greta Gerwig,"Kim Soo-hyun, Kim Ji-won",8.3,86,66,6826056,"Gen Z, Millennials",18+,Prime Video,Golden Globe,"Action, Mystery",90
959,Neon Nights 959,July,1992,Documentary,Movie,India,Hindi,121,James Cameron,"Chris Evans, Emily Blunt",7.1,84,873,4211726,"Gen Z, Millennials",PG-13,Prime Video,Golden Globe,"Fantasy, Adventure",87
960,The Last Voyage 960,January,2022,Mystery,Series,Canada,Spanish,189,James Cameron,"Leonardo DiCaprio, Kate Winslet",6.8,95,74,6689827,Gen X,18+,HBO Max,Oscar,"Comedy, Tragedy",75
961,Silent Echo 961,April,2000,Fantasy,Series,France,English,133,Anurag Kashyap,"Kim Soo-hyun, Kim Ji-won",6.9,98,1234,899355,Gen Z,16+,Hulu,Baeksang Nominee,"Thriller, Tragedy",78
962,Shattered Memories 962,January,1995,Fantasy,Movie,UK,Spanish,182,Hayao Miyazaki,"Song Kang-ho, Lee Sun-kyun",8.6,56,2063,1663123,"Gen Z, Millennials",PG,HBO Max,None,"Mystery, Adventure",77
963,Crimson Dawn 963,September,2008,Documentary,Series,Germany,Hindi,190,Anurag Kashyap,"Brad Pitt, Margot Robbie",8.6,82,2259,9951629,Millennials,16+,Hulu,None,"Fantasy, Action",77
964,Hidden Truths 964,September,2011,Sci-Fi/Thriller,Series,France,Japanese,195,Guillermo del Toro,"Ranbir Kapoor, Alia Bhatt",7.8,85,287,4949335,Gen Z,R,Netflix,Cannes Winner,"Sci-Fi, Mystery",80
965,Crimson Dawn 965,November,2004,Action/Adventure,Series,UK,French,196,Park Chan-wook,"Brad Pitt, Margot Robbie",7.6,70,338,6364815,Millennials,16+,HBO Max,None,"Action, Romance",74
966,Crimson Dawn 966,June,1991,Romance/Drama,Series,India,Korean,133,James Cameron,"Ranbir Kapoor, Alia Bhatt",7.5,75,168,2131363,Gen Z,PG-13,Prime Video,None,"Comedy, Romance",93
967,Silent Echo 967,April,1998,Mystery,Movie,France,French,190,Christopher Nolan,"Brad Pitt, Margot Robbie",7.9,74,562,882284,Gen Z,PG,Disney+,Baeksang Nominee,"Comedy, Fantasy",83
968,Neon Nights 968,November,2008,Action/Adventure,Series,India,Hindi,181,Guillermo del Toro,"Scarlett Johansson, Adam Driver",6.5,87,978,4383833,Gen X,16+,Hulu,None,"Drama, Romance",99
969,The Last Voyage 969,May,2021,Horror,Movie,France,French,158,David Fincher,"Tom Hanks, Emma Watson",8.2,57,652,3691327,Gen X,PG-13,HBO Max,Golden Globe,"Drama, Fantasy",100
970,Hidden Truths 970,March,1997,Documentary,Series,Germany,English,141,Anurag Kashyap,"Robert Pattinson, Zoë Kravitz",6.3,67,2535,5618965,Gen Z,R,Disney+,Oscar,"Adventure, Thriller",86
971,Fading Stars 971,December,2015,Romance/Drama,Series,Germany,Korean,132,Guillermo del Toro,"Chris Evans, Emily Blunt",9.4,88,1517,1170610,Gen X,R,Hulu,Golden Globe,"Tragedy, Adventure",80
972,Shattered Memories 972,October,1992,Crime/Comedy/Drama,Movie,USA,Japanese,83,James Cameron,"Brad Pitt, Margot Robbie",8.6,91,2491,6502036,Gen Z,PG-13,HBO Max,Baeksang Nominee,"Adventure, Sci-Fi",93
973,Crimson Dawn 973,December,2006,Romance/Drama,Movie,USA,French,175,Bong Joon-ho,"Robert Pattinson, Zoë Kravitz",7.5,90,674,858751,Gen X,R,Netflix,None,"Tragedy, Action",82
974,Hidden Truths 974,September,1998,Thriller/Drama,Series,Canada,English,150,Park Chan-wook,"Kim Soo-hyun, Kim Ji-won",8,92,1167,5132461,"Gen Z, Millennials",18+,Hulu,None,"Mystery, Fantasy",76
975,Crimson Dawn 975,April,2008,Thriller/Drama,Series,India,Hindi,134,Anurag Kashyap,"Scarlett Johansson, Adam Driver",6.3,96,1649,9362769,Gen X,18+,Hulu,Cannes Winner,"Adventure, Comedy",78
976,The Last Voyage 976,March,1999,Horror,Movie,USA,Spanish,194,Guillermo del Toro,"Leonardo DiCaprio, Kate Winslet",6.1,100,1106,2415933,Gen X,18+,Hulu,Cannes Winner,"Drama, Mystery",92
977,Hidden Truths 977,April,2011,Sci-Fi/Thriller,Movie,South Korea,Japanese,200,Anurag Kashyap,"Chris Evans, Emily Blunt",9,59,1012,9305451,Millennials,18+,Disney+,Baeksang Nominee,"Fantasy, Adventure",97
978,Eternal Shadows 978,June,2009,Thriller/Drama,Movie,France,Spanish,101,James Cameron,"Song Kang-ho, Lee Sun-kyun",6.8,67,2172,4972259,Millennials,18+,Netflix,None,"Adventure, Fantasy",77
979,The Last Voyage 979,February,2012,Mystery,Movie,India,Japanese,138,James Cameron,"Brad Pitt, Margot Robbie",8.9,65,787,8268250,Millennials,PG-13,Prime Video,Oscar,"Romance, Tragedy",96
980,Hidden Truths 980,June,1996,Crime/Comedy/Drama,Series,India,Hindi,117,Anurag Kashyap,"Henry Cavill, Anya Taylor-Joy",8.4,56,2183,2659859,Millennials,R,Disney+,None,"Drama, Adventure",90
981,Dreamscape 981,August,1997,Mystery,Series,Canada,Hindi,172,Park Chan-wook,"Ranbir Kapoor, Alia Bhatt",8.6,88,2872,9011308,"Gen Z, Millennials",R,Netflix,None,"Adventure, Comedy",70
982,Surya the great,January,2014,Action/Adventure,Series,India,hindi,200,Surya Bhushan,Mani Bhushan,9.5,100,5678,673455,Gen X,10+,Netflix,Oscar,Adventure,90
983,Aditi The Cute Girl,October,2017,Action/Adventure,Movie,India,English,202,Aditi Priya,Anushka Kumari,7.8,100,7893,78654,Gen Z,4+,Netflix,Golden award,Mystery,95
984,yash the Smart Boy,April,2016,Action/Adventure,Movie,India,Hindi,200,Yash raj,Khushboo Kumari,6.4,100,67834,56862,Gen Z,8+,Netflix,Golden Award,Mystery,98
985,Silent Echo 985,March,2009,Animation,Series,South Korea,German,173,James Cameron,"Leonardo DiCaprio, Kate Winslet",8.4,99,938,2783571,"Gen Z, Millennials",PG,HBO Max,Oscar,"Comedy, Thriller",70
986,Dreamscape 986,July,2019,Documentary,Series,Japan,Japanese,149,James Cameron,"Scarlett Johansson, Adam Driver",7.5,93,2235,696462,Millennials,R,Hulu,Oscar,"Sci-Fi, Mystery",71
987,Fading Stars 987,April,2001,Mystery,Movie,Germany,Korean,117,Hayao Miyazaki,"Kim Soo-hyun, Kim Ji-won",8.3,71,2776,6703967,Millennials,PG,Prime Video,Golden Globe,"Fantasy, Drama",92
988,Beyond Horizon 988,April,2012,Documentary,Movie,USA,Japanese,195,Park Chan-wook,"Brad Pitt, Margot Robbie",8.3,86,1022,6925082,Gen Z,16+,HBO Max,Cannes Winner,"Drama, Comedy",71
989,Fading Stars 989,November,2025,Fantasy,Movie,UK,Hindi,105,Hayao Miyazaki,"Tom Hanks, Emma Watson",7.8,92,2557,4625420,Millennials,PG,Disney+,Baeksang Nominee,"Thriller, Fantasy",83
990,The Last Voyage 990,February,1997,Documentary,Series,USA,Korean,140,Christopher Nolan,"Song Kang-ho, Lee Sun-kyun",7.1,65,1772,4454498,"Gen Z, Millennials",18+,Disney+,Baeksang Nominee,"Sci-Fi, Romance",72
991,Fading Stars 991,March,1993,Documentary,Series,India,French,185,Guillermo del Toro,"Henry Cavill, Anya Taylor-Joy",6.7,89,923,5039391,Millennials,PG-13,HBO Max,None,"Drama, Romance",91
992,Hidden Truths 992,October,2002,Mystery,Movie,Canada,Korean,175,Guillermo del Toro,"Scarlett Johansson, Adam Driver",7,95,2483,2196361,Gen Z,18+,Prime Video,None,"Action, Fantasy",96
993,Beyond Horizon 993,March,2012,Thriller/Drama,Movie,UK,Spanish,96,Guillermo del Toro,"Ranbir Kapoor, Alia Bhatt",9,64,1396,3255423,"Gen Z, Millennials",PG-13,HBO Max,None,"Thriller, Tragedy",89
994,Beyond Horizon 994,December,2018,Documentary,Series,Germany,Hindi,183,Anurag Kashyap,"Robert Pattinson, Zoë Kravitz",8.6,50,888,8431752,Millennials,PG,Netflix,Cannes Winner,"Romance, Mystery",87
995,Fading Stars 995,May,2001,Mystery,Series,UK,Hindi,130,Hayao Miyazaki,"Scarlett Johansson, Adam Driver",6.2,70,1522,2600819,Gen Z,PG-13,Hulu,Oscar,"Drama, Romance",70
996,Eternal Shadows 996,April,2004,Thriller/Drama,Movie,Japan,Hindi,103,James Cameron,"Chris Evans, Emily Blunt",7.5,97,1098,5943850,"Gen Z, Millennials",PG-13,Prime Video,Golden Globe,"Drama, Tragedy",92
997,Beyond Horizon 997,January,2024,Sci-Fi/Thriller,Series,Canada,French,185,Christopher Nolan,"Henry Cavill, Anya Taylor-Joy",9.2,80,768,1338498,Gen X,16+,Disney+,K-Drama Awards,"Sci-Fi, Drama",90
998,Crimson Dawn 998,March,2010,Horror,Series,South Korea,Hindi,173,Guillermo del Toro,"Kim Soo-hyun, Kim Ji-won",6,72,1965,1648519,"Gen Z, Millennials",16+,Netflix,Cannes Winner,"Thriller, Mystery",78
999,Shattered Memories 999,May,1994,Documentary,Series,South Korea,Hindi,191,Park Chan-wook,"Kim Soo-hyun, Kim Ji-won",7.7,84,1431,6564628,Gen X,18+,Hulu,Cannes Winner,"Drama, Sci-Fi",75
1000,Fading Stars 1000,September,2009,Animation,Movie,USA,Spanish,82,Christopher Nolan,"Brad Pitt, Margot Robbie",7.6,53,1513,5146891,Gen Z,R,Hulu,Golden Globe,"Romance, Comedy",77
1001,Dreamscape 1001,December,1998,Action/Adventure,Series,Germany,German,117,Hayao Miyazaki,"Tom Hanks, Emma Watson",7.8,85,2283,4266664,Millennials,R,Hulu,Oscar,"Drama, Mystery",88
1002,Beyond Horizon 1002,March,1996,Mystery,Movie,USA,French,130,Christopher Nolan,"Leonardo DiCaprio, Kate Winslet",6.5,61,1376,1373817,Gen Z,PG,Netflix,K-Drama Awards,"Adventure, Action",99
1003,Hidden Truths 1003,June,2001,Action/Adventure,Movie,Canada,German,133,Bong Joon-ho,"Leonardo DiCaprio, Kate Winslet",6.1,80,1754,7447771,"Gen Z, Millennials",PG,HBO Max,K-Drama Awards,"Drama, Action",91
1004,Crimson Dawn 1004,March,2002,Crime/Comedy/Drama,Series,UK,German,198,Anurag Kashyap,"Brad Pitt, Margot Robbie",8.5,84,1060,7284856,"Gen Z, Millennials",PG-13,Disney+,K-Drama Awards,"Adventure, Action",85
1005,Fading Stars 1005,October,2024,Sci-Fi/Thriller,Movie,Germany,English,89,Guillermo del Toro,"Ranbir Kapoor, Alia Bhatt",7.3,65,898,2193039,"Gen Z, Millennials",16+,Disney+,None,"Fantasy, Mystery",85
1006,Dreamscape 1006,August,2024,Animation,Movie,Germany,English,114,James Cameron,"Brad Pitt, Margot Robbie",7.4,54,1485,7693350,"Gen Z, Millennials",PG,HBO Max,Oscar,"Mystery, Tragedy",98
1007,Hidden Truths 1007,September,2012,Animation,Series,France,Japanese,133,James Cameron,"Henry Cavill, Anya Taylor-Joy",8.2,91,2808,6548763,Gen Z,16+,HBO Max,Baeksang Nominee,"Romance, Sci-Fi",74
1008,Fading Stars 1008,November,2024,Fantasy,Movie,Japan,English,180,Hayao Miyazaki,"Brad Pitt, Margot Robbie",8.1,63,2482,7356042,Millennials,PG-13,HBO Max,Oscar,"Drama, Adventure",72
1009,Neon Nights 1009,March,2000,Documentary,Movie,Canada,Japanese,160,Christopher Nolan,"Brad Pitt, Margot Robbie",7.2,81,1743,6330819,"Gen Z, Millennials",18+,Hulu,Golden Globe,"Romance, Drama",92
1010,Silent Echo 1010,August,2009,Crime/Comedy/Drama,Movie,South Korea,French,99,Sofia Coppola,"Brad Pitt, Margot Robbie",9.4,78,2689,8277328,Millennials,PG,Disney+,None,"Thriller, Romance",100
1011,Eternal Shadows 1011,February,2014,Mystery,Movie,South Korea,Korean,195,David Fincher,"Brad Pitt, Margot Robbie",7.2,81,923,3617778,Gen Z,R,Hulu,Oscar,"Action, Fantasy",97
1012,Eternal Shadows 1012,March,2016,Thriller/Drama,Movie,France,Japanese,131,Bong Joon-ho,"Leonardo DiCaprio, Kate Winslet",6.9,70,675,8308860,"Gen Z, Millennials",18+,Hulu,K-Drama Awards,"Sci-Fi, Tragedy",100
1013,Neon Nights 1013,February,2008,Horror,Series,USA,Japanese,190,Sofia Coppola,"Henry Cavill, Anya Taylor-Joy",8.4,78,2100,4828985,Millennials,R,Disney+,Golden Globe,"Adventure, Mystery",73
1014,Silent Echo 1014,December,2021,Crime/Comedy/Drama,Series,Japan,Hindi,91,David Fincher,"Chris Evans, Emily Blunt",7.7,91,1607,8044760,Gen X,18+,Prime Video,K-Drama Awards,"Mystery, Adventure",98
1015,Dreamscape 1015,April,1999,Mystery,Movie,India,Japanese,179,Sofia Coppola,"Brad Pitt, Margot Robbie",8,52,951,8453654,Millennials,R,Prime Video,Oscar,"Thriller, Adventure",90
1016,Eternal Shadows 1016,February,2003,Romance/Drama,Series,France,Spanish,96,Sofia Coppola,"Tom Hanks, Emma Watson",6.8,58,1437,2219145,Gen X,16+,Disney+,Baeksang Nominee,"Action, Mystery",72
1017,Hidden Truths 1017,January,1992,Mystery,Movie,France,French,175,James Cameron,"Tom Hanks, Emma Watson",6.8,80,1514,9417376,"Gen Z, Millennials",PG,Netflix,Oscar,"Comedy, Drama",70
1018,Silent Echo 1018,January,2011,Sci-Fi/Thriller,Movie,Japan,German,194,Hayao Miyazaki,"Tom Hanks, Emma Watson",9.2,70,382,6476773,Gen X,PG,HBO Max,Oscar,"Action, Tragedy",93
